Moment,Data,Simulated,Difference
A_pi_y,0.02275060384744748,0.025089850161741076,0.0023392463142935943
A_pi_r,0.07400589085131852,0.1998167330534736,0.1258108422021551
A_y_pi,-0.008814542774509163,-0.007312080887128745,0.0015024618873804184
A_r_pi,0.02257022853449156,0.06972947464816918,0.047159246113677625
S_pi_pi,3.6604932717540763,2.577256948697829,-1.0832363230562474
S_y_y,0.9669782061123947,0.9729745006215408,0.005996294509146072
cov_pi_y,1.4325383509181435,-0.09978728567144934,-1.5323256365895928
cov_pi_r,1.573216805629231,0.20006871018814482,-1.3731480954410862
cov_y_r,2.8091564580746287,-0.3343694723596971,-3.143525930434326
acov_pi_1,1.8866854345223374,1.9054804826771423,0.018795048154804928
acov_y_1,2.842309988864184,0.14002153143126406,-2.7022884574329202
